ID,Name,Environmental data? Y/N/Part,"Priority (1,2,3)"
org-dga-26a82e84-3a18-4bfe-9670-ce9467f1bb5c,Productivity Commission,Part,
org-dga-2955e3b6-6e8d-4796-b20b-bd0b6e186102,China Second Institute of Oceanography (CSIO),Y,
org-dga-2971456d-f762-435c-92e2-9932a1a319f0,Sustainability Victoria,Part,
org-dga-2a4f23f9-445c-461f-b458-bfe14cc76527,Tasmanian Museum and Art Gallery,,
org-dga-2ae4e75b-f771-4d7d-acfc-3688d3b30890,National Portrait Gallery,,
org-dga-2bfb03d8-d1e6-40e3-b3f8-71d9ac99b6f2,Toowoomba Regional Council,Part,
org-dga-2c6a810f-c9d9-496e-82d2-c26f4b66087e,Naval Oceanographic Office (NAVO),Y,
org-dga-2df7090e-2ebb-416e-8994-6de43d820d5c,Department of Health,,
org-dga-2f1f3348-a994-4ae7-b7a9-32c4440ca271,Australian Centre for International Agricultural Research (ACIAR),Y,
org-dga-2f49a37e-294b-412a-a735-66222f7acf8d,Department of Premier and Cabinet (Tasmania),,
org-dga-3045a206-18c9-465f-a01b-9a0c0b438173,Main Roads (Western Australia),,
org-dga-305fc5fa-1798-4d78-b846-faa17f39369d,Department of the Prime Minister and Cabinet,,
org-dga-30838df3-6bde-462d-8843-c980a5b27539,Colac Otway Shire,Part,
org-dga-33ee3aff-565c-4f71-a660-0f62df35399a,Reserve Bank of Australia,,
org-dga-342e8a1b-2dea-4e7a-9b98-d78edf0007ad,State Library of New South Wales,,
org-dga-3459235b-bfb7-4e13-8245-83bfafb8972e,Australian Business Register,,
org-dga-34f8a6fa-545f-447b-b126-6f8634e13b26,Department of Communications and the Arts,,
org-dga-35077b48-66e1-4c77-879d-30042fd911cd,NOAA National Marine Fisheries Service,Y,
org-dga-357060f0-4fa2-4bf8-a0c6-dac49193fafc,Melton City Council,Part,
org-dga-362d39b2-9af4-488c-becb-98e5c0513309,Wodonga City Council,Part,
org-dga-3644a320-a030-4ed8-81e9-ba26e71f57d2,Japan Agency for Marine Earth Science and Technology (JAMSTEC),Y,
org-dga-38226208-c879-4e11-9394-8228f4bf3240,Murdoch University,Part,
org-dga-3870aac3-411b-413f-a0c2-c8425244db8b,"Department of Water, Government of Western Australia",Y,
org-dga-387130b1-65a2-49c9-bdf6-834234346d01,Reef Check Australia,Y,
org-dga-38da33a7-1b73-4316-8a2c-652ad9913efe,"Department of Infrastructure Engineering, The University of Melbourne",Part,
org-dga-3965c5cd-d88f-4735-92db-af28d3ad9155,National Native Title Tribunal,Y,
org-dga-3b88407a-19b1-4e82-99ff-acd699ffb5bf,Parliament of NSW,,
org-dga-3d54ad99-850e-4d5b-814c-abf4a5d84126,Lake Macquarie City Council,Part,
org-dga-3e666ea1-f7c8-4382-a342-0e0bbc88ce9a,Australian Antarctic Division,Y,
org-dga-3ead98e9-2984-45dc-bb4a-5eea6f52843a,City of Stonnington,Part,
org-dga-3f27215a-16d6-46aa-999b-1745db17919e,Swan Hill Rural City Council,Part,
org-dga-3fc5e756-b7f6-49a5-812e-b74998a5cc18,Glen Eira City Council,Part,
org-dga-40196e8b-afc0-4671-aff1-e1f3d2562f3d,CMAR - CSIRO Marine and Atmospheric Research,Y,
org-dga-41ad65b4-4345-451c-9c4a-332b99a98247,"UWA Oceans Institute (OI), The University of Western Australia (UWA)",Y,
org-dga-41bf4eca-a1a9-4205-949e-c43b0fe19d17,Ipswich City Council,Part,
org-dga-427129a8-ed9c-4416-8f7b-e9a3357344ab,Hindmarsh Shire Council,Part,
org-dga-43135748-697b-4e57-8ba1-fd95650bb2c5,Resource Management and Conservation,Y,
org-dga-457f8933-438e-4fe5-aca4-4f774d541fd9,South Australian Research and Development Institute,Part,
org-dga-45e2f2ad-b25d-4800-8621-9d42c722aafb,Conservation Council of Western Australia (CCWA),Y,
org-dga-48dbeec9-28e0-4f01-9709-83cf5877b62d,"School of Earth and Environmental Sciences, James Cook University (JCU)",Y,
org-dga-4ae527e3-acf0-4e64-b8fa-109cdf7cc791,School Curriculum and Standards Authority (Western Australia),,
org-dga-4d394e87-ac5e-408f-9792-b4b547ad5fac,Australian Ocean Data Network - BlueNet Data,Y,
org-dga-4d907503-b2aa-4c38-ac13-1273e791cb08,Australian Charities and Not-for-profits Commission,,
org-dga-4dfacab4-2091-44fa-bafa-236ec16b12ad,AIMS,Y,
org-dga-4dfe41b3-1c72-4508-9355-8c4fe6cf22f5,Golden Plains Shire Council,Part,
org-dga-4e52276d-9416-4783-8296-bfb0f2cef464,Australian National University,Part,
org-dga-4e704c39-2385-42e9-a7d1-5af343c358b5,City of Ballarat,Part,
org-dga-4f3982d9-6e37-4bd7-839d-66f55957df74,"Department of Civil Engineering, Monash University",Part,
org-dga-500bedc6-25af-4826-8d0b-a494e9a7866b,British Oceanographic Data Centre (BODC),Y,
org-dga-5026a089-308c-44a4-9e71-53492bd59f69,"Centre for Tropical Biodiversity and Climate Change, James Cook University",Y,
org-dga-52a106a1-bcf7-4049-a810-54c02a0d089d,"Australian Research Council Centre of Excellence for Coral Reef Studies, 0 (JCU)",Y,
org-dga-52a30c0f-238d-4d77-9b77-5138ad173c90,State Library of South Australia,,
org-dga-53a24fb3-52e7-4155-8c70-20e68cc1dde7,"ARC Centre of Excellence for Coral Reef Studies, James Cook University",Y,
org-dga-53c4750d-1439-4d9c-9553-a2cb11030341,Flinders Centre for Airborne Research/Airborne Research Australia,Part,
org-dga-53fdf7ba-8703-4a53-af30-1d5c184d4921,James Cook University,Part,
org-dga-54c16057-eb16-412b-b454-dbbc8caa0958,Private Forests Tasmania,Y,
org-dga-55b06203-14cb-41ce-90c2-c6aaa3277f75,"North Australia Research Unit (NARU), The Australian National University (ANU)",Part,
org-dga-560642cc-5e0c-4ae4-a834-ece6a1d6882c,Bureau of Meteorology (BOM),Y,
org-dga-561df689-a122-4eb3-8b1f-5778fdb2e894,CSIRO Marine and Amospheric Research,Y,
org-dga-56604b50-278d-4147-9cb0-6c39f5b2acc9,"Department of Ecology, Evolution and Environmental Biology (E3B), Columbia University",Y,
org-dga-5666db1a-1b62-4484-8ec8-350fb28bdc2f,Geoscience Australia,Y,
org-dga-58914adc-9362-4667-9b18-62f0cdf8f9c2,"Centre for Tropical Waters and Aquatic Research (TropWATER), James Cook University (JCU)",Y,
org-dga-5945a8de-5a86-46cf-89c7-0b20fe9db3e6,Workplace Gender Equality Agency (WGEA),,
org-dga-5a9f3a8e-2673-4c6e-be5b-e8f7287993c5,Australian Bureau of Agriculture and Resource Economics and Sciences,Y,
org-dga-5aa2dc11-501a-41c0-901c-4195db62c096,Department of Home Affairs,Part,
org-dga-5bdd245d-f348-460d-b6ca-cd08c367b08a,"School of Environmental Systems Engineering, The University of Western Australia (UWA)",Part,
org-dga-5cac490a-7ff5-41d5-bc63-75f3882099b4,City of Casey,Part,
org-dga-5d196744-dac3-4ada-b89c-318dcee0cac4,Yarriambiack Shire Council,Part,
org-dga-5d401ad5-020c-4611-8004-a854cb9844a2,"School of Archaeology and Anthropology, The Australian National University (ANU)",Part,
org-dga-5e504a69-118f-48da-9ef6-c3deec16b685,James Cook University (JCU),Part,
org-dga-5e64d215-6767-4fd3-962d-62d58de66553,Mscience Pty Ltd,Y,
org-dga-5feb9583-30ba-4449-b907-cdb7f00b8894,Rockhampton Regional Council,Part,
org-dga-60377ef8-2405-46b5-9464-fe400a6491d7,"Defence Science and Technology Organisation (DSTO), Department of Defence (DoD), Australian Government",Part,
org-dga-615cad5f-a580-4cbe-b7d6-9ec4d7d1d823,"School of Plant Biology (SPB) / UWA Oceans Institute (OI), The University of Western Australia (UWA)",Part,
org-dga-617192c7-5918-4f22-94e6-2a026e13d08c,"School of Environmental Sciences, Charles Sturt University (CSU)",Y,
org-dga-62432fe3-3758-4047-884f-7f0bbed7ebb4,Mansfield Shire Council,Part,
org-dga-62a06380-9407-419c-aa26-2446f44fe150,Strathbogie Shire Council,Part,
org-dga-634f858d-35ea-4277-b5df-7a2241770777,Fire & Rescue NSW,Part,
org-dga-63906420-143d-49fb-809e-5fe3a1eea99f,"Department of Parks and Wildlife (DPaW), Western Australian Government",Y,
org-dga-6414b599-7c9f-4660-8058-e69bb381afbd,"School of Environment, Griffith University (GU)",Y,
org-dga-6517a9fd-b6e2-4709-bd65-3bbb422bd976,Indian National Centre for Ocean Information Services (INCOIS),Y,
org-dga-66611fb0-4745-417e-9324-6718e94fae24,Environs Kimberley,Y,
org-dga-66a429bd-ed5a-43cf-9599-38900eb57d31,Warrnambool City Council ,Part,
org-dga-67a1895b-df7e-4202-8fd8-70ee1577b0c7,Frankston City Council,Part,
org-dga-67df5c18-d18a-4c30-8467-97be9fa6a848,Tasmania Fire Service,Part,
org-dga-693e2449-3c31-468b-a0ab-d27a8af64856,Australian Bureau of Statistics,Part,
org-dga-69f37b4c-bdf0-4c85-bd56-82fa6d6b087a,Bioregional Assessment Programme,Y,
org-dga-6a68657d-aabc-4533-884e-f3ba2db14923,Environment Protection Authority Tasmania,Y,
org-dga-6b293cc9-aaca-4783-9237-b2be7cc8328e,"TropWATER, James Cook University (TropWATER/JCU)",Y,
org-dga-6b5fb669-b57c-4c2b-818b-04d1742def95,Halfmoon Biosciences,Y,
org-dga-6bb07664-eae8-403a-b5f4-7ff0ecae41d5,"Australian Tropical Herbarium, James Cook University (ATH/JCU)",Y,
org-dga-6c45b504-5353-490f-bb88-0c582e4e9301,Victoria Police,,
org-dga-6c63f638-13f7-4461-a13a-b47cb1d98320,"School of Marine and Tropical Biology, James Cook University",Y,
org-dga-6cd91ebf-9611-4f49-bd58-6a9d058b40a6,"Department of Water (DoW), Western Australian Government",Y,
org-dga-6d0339b1-7dae-4df0-bda5-904ba070a012,City of Port Phillip,Part,
org-dga-6d9deecd-3e4a-4c23-9fb6-3a3f6af6557a,National Archives of Australia,Part,
org-dga-6dedc5ae-02f3-4c38-bb9f-c4e2d028f7aa,Macedon Ranges Shire Council,Part,
org-dga-6e591d3d-4523-48dc-ba0e-ad5622202694,Department of Health and Human Services,Part,
org-dga-6e77df5e-5165-41af-bb13-20bfba2642ad,"Ocean Technology Group (OTG), The University of Sydney (USYD)",Y,
org-dga-6e86fc95-6b8f-4e62-a2d9-473115cbd1bc,TasGRN Project,Part,
org-dga-6f228371-1dc8-4b31-9008-06e8b72123e4,Public Sector Commission (Western Australia),,
org-dga-6faaf8e8-19c7-4329-9843-d390becec290,Noosa Shire Council,Part,
org-dga-706d6bc5-d5ff-43ea-bc47-8f57099e55ad,"TropWATER, James Cook University",Y,
org-dga-70b80f60-bf04-4f08-9375-326d4b39a095,Department of Sustainability and Environment,Y,
org-dga-71643eed-5cdb-4235-9f03-88e79298bb9d,Fraser Coast Regional Council,Part,
org-dga-719af507-ba42-41b2-af0b-14402901e694,Murray-Darling Basin Authority,Y,
org-dga-72dabca0-7555-44f8-8041-fd91c84a3f36,City of Monash,Part,
org-dga-72fbe22f-a6b8-473f-983c-e0a8ecf02838,Antarctic Climate and Ecosystems Cooperative Research Centre,Y,
org-dga-73448ec8-7567-44fa-9f5f-64a6ca16070f,Mineral Resources Tasmania,Y,
org-dga-73912440-ef5d-48d0-967d-4f25bc52fb09,French Institution for Exploitation of the Sea (IFREMER),Y,
org-dga-742235a9-e1c5-42c2-9ba9-724692df3a46,Arts Victoria,,
org-dga-7445504e-47e0-499e-befa-718d6d8e6b8e,Manly Hydraulics Laboratory (MHL),Y,
org-dga-746366d7-5ef1-410e-9310-862d78b12ec1,National Aeronautics and Space Administration Jet Propulsion Laboratory (NASA JPL),Part,
org-dga-74ca1074-65f3-430b-8aff-86ef21e764f5,Australian Sports Commission,,
org-dga-75266ba1-57c4-429b-96d5-84c8b7a57113,Oceanweather Inc.,Y,
org-dga-7575ccb3-ce6b-4aa2-a69b-8b620fe55b55,Department of the Environment and Energy,Part,
org-dga-758f5af4-e856-43fe-82a7-fb8c5d9ac5fd,Food Standards Australia New Zealand  (FSANZ),Part,
org-dga-75bf1f40-8438-4d16-8eea-862fa4190df4,"School of Marine and Tropical Biology and the Australian Centre of Excellence for Coral Reef Studies, James Cook University",Y,
org-dga-760c24b1-3c3d-4ccb-8196-41530fcdebd5,ABS Geospatial Solutions,Y,
org-dga-7749a484-3c57-4749-ac71-c0f3356bde44,"Institute for Marine and Antarctic Studies (IMAS), University of Tasmania (UTAS)",Y,
org-dga-78081348-9105-4dc7-8d38-28a1f3b3da2a,Department of Construction and Infrastructure,Part,
org-dga-7b1a15a5-c817-42c4-bbec-a10288024bab,NSW Bureau of Crime Statistics and Research,,
org-dga-7beef52b-a1e9-418e-aad8-760a3f3b2058,"Department of Primary Industries, Parks, Water and Environment (Tasmania)",Y,
org-dga-7d46dded-5451-4ebd-8513-1ce14a800a51,Australian Fisheries Management Authority,Y,
org-dga-7e30996c-0ddf-4304-8afd-65eab91ef10a,Cliffs Natural Resources,Y,
org-dga-7e9d047d-5f35-413f-8a19-7224fe56cbd1,City of Melbourne,Part,
org-dga-7ea90c62-1213-4be8-8e09-67ffabc6db4b,UNEP World Conservation Monitoring Centre,Y,
org-dga-7f2583b5-d3fe-44b1-a41a-d069327b73ca,Australian Prudential Regulation Authority,,
org-dga-7f4ec0eb-7f04-4491-bd7c-f1c21af2fd52,Wyndham City Council,Part,
org-dga-7f61ebae-53bd-4802-849c-b559199a8dd9,Glenelg Shire Council,Part,
org-dga-80ae974e-62b1-4349-9c2f-f1fb293c0804,BlueNet,Y,
org-dga-80b134ce-6b4a-4c59-92d9-1f0a7c8d04b6,LINC Tasmania,Part,
org-dga-813179e8-804c-49c1-aff6-9961e66db5d0,The University of Texas at Austin,,
org-dga-81f7a15f-e5b6-4a9a-8abe-a31f08a1f980,Northern Grampians Shire Council,Part,
org-dga-822e6b13-d551-4528-bfa3-11b76847d68d,Department of Education and Training,,
org-dga-823f40c6-4b5a-4e91-b0ff-ed737df252e7,Commonwealth Scientific and Industrial Research Organisation,Part,
org-dga-83b91f39-9ef3-44f8-b4d2-da2ea61e9097,Department of Housing (Western Australia),,
org-dga-844d5387-7b84-4689-9678-854142cc3146,"Coral Reef Studies ARC Centre of Excellence, James Cook University",Y,
org-dga-853f98f0-a165-496b-8e38-997298c3ea0b,Torres Strait Regional Authority (TSRA),Part,
org-dga-85a985be-5e7f-4251-a67b-8f95f450eb6a,Center for Marine Environmental Sciences (MARUM),Y,
org-dga-861ff5b1-95e1-44fe-a863-460a12aa73bf,Loddon Shire Council,Part,
org-dga-8749b696-cf1b-40e1-859b-61244c902576,OzCoasts (Geoscience Australia),Y,
org-dga-87bd61e3-b448-435a-b538-7f38f97e9fb0,Department of Health (Western Australia),,
org-dga-87d5b07a-5e17-4a17-89ed-a8f0a5c84232,Natural and Cultural Heritage Division,Part,
org-dga-891e1ec5-586f-4738-ade4-fd6ca2472a74,nabers,Y,
org-dga-89acfa18-f6b4-47de-856c-2570a2e72f86,"Environmental Research Center, Sohar University, Oman",Y,
org-dga-8a004b69-6411-4ddf-82f7-873df1f65113,Attorney General's Department,,
org-dga-8be15b8e-ce9a-47e7-84fa-7383d363a476,Wet Tropics Management Authority,Y,
org-dga-8c0729bc-1010-43f4-b90a-284e856936d1,Australian Pesticides and Veterinary Medicines Authority,Y,
org-dga-8c3b0534-fc98-47f8-9c15-39d5c6c5f198,Atlantic Oceanographic and Meteorological Laboratory (AOML),Y,
org-dga-8c67ca4b-8119-4ef5-a512-48d53da5104d,Australian Institute of Health and Welfare,Y,
org-dga-8c7e6ae0-0248-419b-a033-183d1da9b31e,"Centre for Marine Science and Technology, Curtin University of Technology",Y,
org-dga-8caec933-0b3d-454a-85c6-1be21f143f1f,Department of Fisheries,Y,
org-dga-8cd72667-4569-4209-9de1-cbf76835472c,Horsham Rural City Council,,
org-dga-8d593c20-3cc8-40f5-92af-bf563a0a6e2b,Hydro Electric Commission,,
org-dga-8f3bb40e-1fd6-4fac-b774-d9b8b427c9c4,Australian Seabird Group,Y,
org-dga-8f6f16fd-0192-4b14-9b34-b0302225191e,Integrated Marine Observing System (IMOS),,
org-dga-90153a8c-6a29-4068-a97d-7cf06dbef700,"Department of Industry, Innovation and Science",Part,
org-dga-9042612a-46b5-4b16-a578-8dffa7583a24,Tertiary Education Quality and Standards Agency (TEQSA),,
org-dga-90b09b36-37ef-43ea-8cb0-639db714568d,Office of the Australian Information Commissioner,,
org-dga-90d1f157-c01f-4589-93bf-600dee01996e,Australian Taxation Office,,
org-dga-910dca34-e7a2-4703-9c70-b93385ba912d,Australian Electoral Commission,,
org-dga-91b5d8b4-0113-4704-b6a9-45ceb4b61c78,"Department of Environment, Land, Water and Planning (DEWLP), Victorian Government",Y,
org-dga-92e470aa-8ca9-4296-962f-94c2dfa05d37,Curtin University,Part,
org-dga-964d75aa-c5b4-4dc4-bab4-85eb125547b0,"Centre for Marine Science and Technology (CMST), Curtin University",Y,
org-dga-9651fb94-7ee5-4fcf-ae53-75266320c3cf,FishBase,Y,
org-dga-97c6c95f-f266-4d2b-8dc6-facfe008e1da,Department of the Attorney General (Western Australia),,
org-dga-99959628-4029-4976-8db5-54b0b7b05a6e,Australian Defence Force Academy (ADFA),Part,
org-dga-9a448391-d73c-47da-9d56-472cf4a7cd90,CSIRO Division of Marine and Atmospheric Research - Hobart,Y,
org-dga-9a97484d-68de-406c-b2cf-deb0addf34c6,BMT Oceanica,Y,
org-dga-9ad7ef22-735a-45c1-9e83-0f702d56984b,ACT Government,Part,
org-dga-9b347171-f815-4274-9162-e3d605d2269a,Water Corporation,Y,
org-dga-9bbdf23a-8b7d-438c-9c92-e2bd29027639,Australian Financial Security Authority,,
org-dga-9c3aa965-622f-469f-84c9-6aab85a49097,Mosman Municipal Council,Part,
org-dga-9e029acd-7627-415c-89f6-0352f8e90404,Greater Shepparton City Council,Part,
org-dga-a089f389-55fe-4554-9280-d5c581cce0eb,"School of Earth and Environment, James Cook University",Part,
org-dga-a08ff565-70d8-437e-9b8f-292c125c4e29,Nillumbik Shire Council,Part,
org-dga-a1444ea3-7fe9-4c82-a3df-bdf66a50e248,Clean Energy Regulator,Y,
org-dga-a286239d-2733-4d1d-8e93-844ff6162b9c,"Department of National Parks, Sport and Racing",Part,
org-dga-a4086135-5b68-48e6-8b38-7cb3ecc8c63c,City of Yarra,Part,
org-dga-a45ae4a4-6d82-46fb-977a-af03adbddf0c,City of Whittlesea,Part,
org-dga-a56f8067-b250-4c32-9609-f2191dc88a3a,City of Greater Bendigo,Part,
org-dga-a612fb6a-8b3b-47cb-a4d0-bc437a665318,South Australian Governments,Part,
org-dga-a8da4fcb-bb59-400b-b630-2d908a49b815,"Department of Environment and Agriculture, Curtin University",Y,
org-dga-a9780620-e14a-40d8-9130-b2b000b555f4,SA Water,Y,
org-dga-ab892155-ab6b-4f53-b665-35df300beec9,U.S. Geological Survey (USGS),Y,
org-dga-abb655f7-a096-425c-a1f3-bbb04b1dd5c0,"Cockburn Sound Management Council (CSMC), Department of Environment Regulation (DER), Western Australia Government",Y,
org-dga-abcc1934-60e7-46b4-a9bc-70080bd9cb11,Resource Management and Conservation Division,Y,
org-dga-ad32a546-39fc-47f4-a8a3-b748e0b7de8c,Department of Veterans' Affairs,,
org-dga-ad9dab50-e932-457e-8445-96f1f65f3bf1,City of Hobart,Part,
org-dga-ae59d90a-8bb5-4314-92de-7b4598bde343,Surf Coast Shire Council,Part,
org-dga-ae813947-7bbe-4ac2-863c-7eb145c8841e,"Centre for Marine Ecosystems Research (CMER), School of Natural Sciences, Edith Cowan University (EDU)",Y,
org-dga-b071c719-105d-4514-af78-7d61bcc9936c,Department of Planning (Western Australia),Part,
org-dga-b0854fab-6fdb-40d2-adc6-75dcb2291f8c,Tax Practitioners Board,,
org-dga-b0bc5f09-19eb-4dbe-984c-1e26b4c37ded,"College of Science, Technology and Engineering (CSTE), James Cook University (JCU)",Y,
org-dga-b1995de1-2cfb-45ab-8140-b60af41a9833,Industry and Investment NSW,Part,
org-dga-b21f9ada-0726-42e7-b757-40b4bfa0153d,Southern Grampians Shire Council ,Part,
org-dga-b2cb4d25-4b48-4823-90e4-9ef21d52e422,"Centre for Tropical Biodiversity & Climate Change, James Cook University (CTBCC/JCU)",Y,
org-dga-b2e42a52-2875-435e-a113-94d72f16be4f,"Queensland Department of Science, Information Technology, Innovation and the Arts",,
org-dga-b45e5d55-9fcc-4ae0-aac6-9b24ebd786f9,Maribyrnong City Council,Part,
org-dga-b665fa1b-9567-4c92-94b9-61fb3bfc4ac3,"Maritime Division, Defence Science and Technology Group (DST Group)",Part,
org-dga-b6d618e4-ec12-4583-8ea0-c692dfb39022,Glenorchy City Council,Part,
org-dga-b8c7b99d-1aa9-4594-9a37-bb7bb349b97a,"School of Plant Biology (SPB), The University of Western Australia (UWA)",Part,
org-dga-bb36614f-d8b1-47d5-b513-1f9867c63d07,Department of Justice (Victoria),,
org-dga-bbb3b405-923a-48d4-b0e9-55ee3c9a022d,State Library of Queensland,,
org-dga-bc7f347d-796e-4916-b5bb-647fb2c81610,Brimbank City Council,Part,
org-dga-bd16a2a4-c415-45ab-8c87-42c321082f7d,Australian National Data Service,Part,
org-dga-bd7b6218-f5a5-4d37-a447-5daf2ba8e737,"School of Earth and Environment (SEE), The University of Western Australia (UWA)",Y,
org-dga-be4b3710-3ea2-4e2e-b57f-c519a817b435,Western Australian Museum (WAM),,
org-dga-bf13bbff-17f6-42fb-b3f6-9fc3540f3e49,"Research School of Asia and the Pacific (RSAP), The Australian National University (ANU)",Part,
org-dga-c1956417-4ff6-460a-af97-4754102fd2ff,State Library of Western Australia,,
org-dga-c1e37029-3a8a-4144-9fe5-8f76fb2778e0,Oceanwise,Y,
org-dga-c416b1b6-1ea1-47c3-b44a-b4586bee6e58,State of the Environment,Y,
org-dga-c49230f3-c869-4930-8de2-7a59c0165a51,"Department of Primary Industries, Parks, Water and Environment (Natural Values Conservation Branch)",Part,
org-dga-c4e3f7d5-fbe5-4f20-8692-308f60dc30b5,"Ecosystem Sciences, Commonwealth Scientific and Industrial Research Organisation (CSIRO)",Y,
org-dga-c551e7c6-9832-45e7-bc68-6a8871b40733,"School of Biological, Earth and Environmental Sciences (BEES), The University of New South Wales (UNSW)",Y,
org-dga-c5766f7d-963a-4f30-915e-f1a6f1143301,Bureau of Meteorology,Y,
org-dga-c605131a-4ab9-45da-a699-6149c9f8d66c,"School of Earth and Environmental Science, James Cook University (JCU)",Y,
org-dga-c6521c61-1f72-44df-9248-8cf26ff83bcc,"Food, Agriculture and Fisheries",Y,
org-dga-c6f852de-0de1-4823-8ede-ee7d52b4bf1b,Australian Antarctic Division (AAD),Y,
org-dga-c7097133-9762-4aef-9faf-d3eff82a5546,Department of Jobs and Small Business,,
org-dga-c776491f-79ba-4c72-be52-3216818c1dec,Australian Federal Police,,
org-dga-c795672c-9682-4234-954c-bf58efcc11be,"School of Earth and Environmental Sciences, James Cook University",Y,
org-dga-c7c77621-e9aa-4303-9211-6ca860954f2d,Department of State Growth (Tasmania),,
org-dga-c81c0b93-ee52-4029-865f-7a6784dd82f6,Korea Ocean Research and Development Institute (KORDI),,
org-dga-c84986ba-1565-4148-867f-7a62f3ee3dc1,National Research Centre for Environmental Toxicology (Entox),Y,
org-dga-c91975d7-8048-4995-9425-fe8fe96ce947,City of Greater Geelong,Part,
org-dga-c9301f4c-e741-44de-b4d4-33ac61e0eeba,City of Gold Coast,Part,
org-dga-ca6ab390-2417-4aad-893f-3d43d1c0321a,Woodside Energy - Corporate Environment,Part,
org-dga-cd2fe71e-4353-41a3-9201-05602b04110d,Australian Institute of Marine Science,Y,
org-dga-cd574697-6734-4443-b350-9cf9eae427a2,Digital Transformation Agency,,
org-dga-ce061016-2962-4770-bc71-2f8fc2ac6038,National Environmental Information Infrastructure (NEII),Y,
org-dga-cfca91a7-c3ca-4af7-a13f-8ccbd923b57e,Corangamite Catchment Management Authority,Part,
org-dga-d2bb1a01-b9db-445c-8e2b-69a3459771df,Department of Education (Tasmania),,
org-dga-d2d08c80-4061-4415-a9a3-38785972f44f,Korea Meteorological Administration (KMA),,
org-dga-d33a4fca-2ae0-4626-b676-48aaf0e8128e,Poplin Pty Ltd,,
org-dga-d3e82b0f-928f-4891-9253-787b09e7310f,"School of Civil, Environmental and Mining Engineering (CEME), The University of Western Australia (UWA)",Part,
org-dga-d62506f6-4203-4854-a817-a773b2894e10,Wimmera CMA,Part,
org-dga-d6ba23ee-815b-463f-ab59-8d6fe166376a,Japan Meteorological Agency (JMA),Y,
org-dga-d89e4884-cce3-4922-a313-a664dd97058c,Hobsons Bay City Council,Part,
org-dga-d97001e9-cde8-452e-8688-9877be4e4d3f,CSIRO Oceans and Atmosphere - Information and Data Centre,Y,
org-dga-d9df1c1b-74fa-4833-9d11-d6ffd2e313c1,Office of the Official Secretary to the Governor-General,,
org-dga-daa4d4d7-81ef-469e-a092-b15fc96d1dbe,N/A,,
org-dga-dc0025bd-58d1-41ff-8549-a3d0aa1ab0ae,"Ministerial Council for Education, Early Childhood Development and Youth Affairs",,
org-dga-dc13195a-3809-4db4-8f39-843a57a5a93e,Corangamite Shire Council ,Part,
org-dga-dd4e3aee-7541-4f23-933e-a7f4b089e9c2,National Library of Australia,Part,
org-dga-dd7976f9-81b2-4c72-b5f5-f7353472c13d,"Centre for Tropical Environmental & Sustainability Sciences, School of Marine and Tropical Biology, James Cook University (JCU)",Y,
org-dga-ddd3c3d1-9e3a-4205-86a4-07d7d0766ea0,"Biophysical Oceanography Group, School of Geography, Planning and Environmental Management, University of Queensland (UQ)",Y,
org-dga-ddd3e2d8-d0e8-4d43-a1e5-39984eb8e774,Australian Securities and Investments Commission (ASIC),,
org-dga-ddd6a046-df0f-46e8-affa-6ac89af1ef74,"TropWATER, James Cook University (JCU)",Y,
org-dga-ddeac19a-8b7d-4f5b-9e7f-3a076d9082d7,Department of Foreign Affairs and Trade,Part,
org-dga-ddebfdf6-66fb-4d3c-a51d-10e30b547420,Australian Research Council Centre of Excellence for Coral Reef Studies (JCU),Y,
org-dga-de6102e1-bc9b-401e-b15a-9bd51c43fcc3,GHD,,
org-dga-debb03ec-aecc-44eb-ba6b-fc312f446509,"Department of Infrastructure, Regional Development and Cities",Part,
org-dga-e03f9c53-d33d-4e4d-ad40-6ef0d7d7a0e8,"School of Business, James Cook University (JCU)",,
org-dga-e10361c2-341c-4c0a-9216-ab36aa54c109,Manningham City Council,Part,
org-dga-e18a6d69-d2ff-4fcf-b71a-ff86288713bd,Oregon State University (OSU),,
org-dga-e1c11081-9fa2-4631-92a7-b61143dce8f4,"Centre for Fish and Fisheries Research (CFFR), Murdoch University",Y,
org-dga-e26937e0-9410-4ba2-9077-87e54e15b804,Centre for Tropical Water & Aquatic Ecosystems Research (TropWater),Y,
org-dga-e2caaead-40b7-4122-a83e-97c405f47e6d,Bundesamt Fur Seeschifffahrt Und Hydrographie (BSH),Y,
org-dga-e324dc6a-547d-4f25-bac9-ff4c850b0d6b,Great Barrier Reef Marine Park Authority,Y,
org-dga-e5efcb47-ac01-45dd-8c27-d99dd340385c,National Aeronautics and Space Administration Goddard Space Flight Center (NASA GSFC),Part,
org-dga-e78bba0d-07ec-42fb-98ab-768072bdb4d3,"School of BioSciences, The University of Melbourne",Part,
org-dga-e89c192a-543c-4064-b066-5e65066eb1ce,National Institute of Water and Atmosphere (NIWA),Y,
org-dga-e9a9e1b2-3eca-4212-b2a3-04593de7bfce,"Centre of Excellence in Natural Resource Management (CENRM), The University of Western Australia (UWA)",Y,
org-dga-ea4bb3d6-2008-48fa-b268-189ea1319ecd,Metropolitan Fire and Emergency Services Board (VIC),Y,
org-dga-ea8a929f-13ad-4ce2-a488-3f27a9368455,City of Greater Dandenong,Part,
org-dga-eae9d341-1968-4028-aed4-96f36649fb7f,"Remote Sensing and Satellite Research Group (RSSRG), Curtin University",Y,
