ID,Name,Environmental data? Y/N/Part,"Priority (1,2,3)"
org-aodn-Integrated Marine Observing System (IMOS),Integrated Marine Observing System (IMOS),Y,
org-aodn-Japan Meteorological Agency (JMA),Japan Meteorological Agency (JMA),Y,
org-aodn-Kluwer Academic Publishers,Kluwer Academic Publishers,,
org-aodn-Manly Hydraulics Laboratory,Manly Hydraulics Laboratory,Y,
org-aodn-Marine Futures / UWA,Marine Futures / UWA,Y,
org-aodn-Mercator Ocean,Mercator Ocean,Y,
org-aodn-Met Office,Met Office,Y,
org-aodn-Murphy Australia Oil Pty Ltd,Murphy Australia Oil Pty Ltd,Y,
org-aodn-NASA,NASA,Y,
org-aodn-National Aeronautics and Space Administration (NASA,National Aeronautics and Space Administration (NASA,Y,
org-aodn-National Aeronautics and Space Administration (NASA),National Aeronautics and Space Administration (NASA),Y,
org-aodn-National Institute of Water and Atmospheric Research (NIWA),National Institute of Water and Atmospheric Research (NIWA),Y,
org-aodn-National Snow and Ice Data Center,National Snow and Ice Data Center,Y,
"org-aodn-National Weather Service (NWS), National Oceanic and Atmospheric Administration (NOAA)","National Weather Service (NWS), National Oceanic and Atmospheric Administration (NOAA)",Y,
"org-aodn-North Australia Research Unit (NARU), The Australian National University (ANU)","North Australia Research Unit (NARU), The Australian National University (ANU)",Y,
org-aodn-Oceanica Consulting Pty Ltd,Oceanica Consulting Pty Ltd,Y,
"org-aodn-Office of Environment and Heritage (OEH), New South Wales Government","Office of Environment and Heritage (OEH), New South Wales Government",Y,
org-aodn-Oregon State University (OSU),Oregon State University (OSU),Part,
org-aodn-OzCoasts (Geoscience Australia),OzCoasts (Geoscience Australia),Y,
"org-aodn-School of Earth and Environment (SEE), The University of Western Australia (UWA)","School of Earth and Environment (SEE), The University of Western Australia (UWA)",Y,
"org-aodn-School of Geosciences, The University of Sydney (USYD)","School of Geosciences, The University of Sydney (USYD)",Y,
"org-aodn-School of Plant Biology (SPB), The University of Western Australia (UWA)","School of Plant Biology (SPB), The University of Western Australia (UWA)",Y,
"org-aodn-School of Veterinary and Life Sciences (VLS), Murdoch University","School of Veterinary and Life Sciences (VLS), Murdoch University",Part,
"org-aodn-Scripps Institution Of Oceanography, University of California San Diego","Scripps Institution Of Oceanography, University of California San Diego",Y,
org-aodn-Southern Cross University,Southern Cross University,Part,
org-aodn-State of Queensland,State of Queensland,Part,
"org-aodn-Tasmanian Department of Primary Industries, Water and Environment","Tasmanian Department of Primary Industries, Water and Environment",Y,
org-aodn-The University of Western Australia (UWA),The University of Western Australia (UWA),Part,
org-aodn-Torres Strait Regional Authority,Torres Strait Regional Authority,Part,
"org-aodn-TropWATER, James Cook University (JCU)","TropWATER, James Cook University (JCU)",Y,
org-aodn-U.S. Geological Survey (USGS),U.S. Geological Survey (USGS),Y,
org-aodn-Water Corporation,Water Corporation,Y,
org-aodn-Woodside Energy - Corporate Environment,Woodside Energy - Corporate Environment,Y,
org-aodn-World Scientific Publishing Company,World Scientific Publishing Company,Part,
org-aurin-00ee234f-4326-4fe1-99fa-4cfa21c3d44c,City West Water Corporation,Y,
org-aurin-01469c4c-5a86-4580-bb6e-1028eea726b0,Local Government of Victoria - Hume City Council,Part,
org-aurin-01663f86-d4be-4ee9-b4b0-412f648d1da8,Ergon Energy,,
org-aurin-0183c0c5-cf6c-4634-a980-1faffdb7e9cf,Local Government of Victoria - Melton City Council,Part,
org-aurin-0546cabd-78eb-4430-9c68-598d5164f819,Government of South Australia - Department for State Development,Part,
org-aurin-06100105-2f3c-4d4d-8164-343c0698f14d,Local Government of Queensland - Townsville City Council,Part,
org-aurin-065de5ef-e30b-48ce-b14a-585441e34701,Government of Queensland - Department of Transport and Main Roads - Road Statistics,,
org-aurin-0e1447cb-c125-43b6-8716-e3b4350fae21,CoreLogic RP Data Pty Ltd - Restricted,,
org-aurin-1265a40b-83b2-4ca2-adac-222d82bfaf50,Government of New South Wales - Department of Transport,,
org-aurin-130d594e-270f-4168-b4da-4208fa0ae09c,University of Adelaide - Australian Population and Migration Research Centre,,
org-aurin-172c888b-eb12-4431-b8a0-31e4b2b83099,Healthdirect Australia Ltd,,
org-aurin-18470760-627b-4058-baa1-5e0c3baefc7e,"Government of Victoria - Department of State Development, Business and Innovation",Part,
org-aurin-18de49fe-5e46-4bc3-ad7a-b609dd26d5c1,"Government of Victoria - Department of Environment, Land, Water and Planning",Y,
org-aurin-195f549d-9667-42d0-b85d-b30146b61afe,Government of Queensland - Queensland Treasury and Trade,Part,
org-aurin-1e76f82f-8f83-4474-9bf7-c3cb10c3f94d,Victorian Planning Authority,Part,
org-aurin-226c5d85-4468-4b72-a7a2-9811b4ad4f58,South East Water Corporation,Y,
org-aurin-2392765e-6720-4586-8426-ae21c3c54a4c,Government of South Australia - RenewalSA,Part,
org-aurin-27c71c56-1a23-4ae0-9e64-7a33da9a81e9,Energy Supply Association of Australia,Part,
org-aurin-2af84936-46a0-430e-9e7c-317107848692,Melbourne Water Corporation,Part,
org-aurin-31af2287-e969-4eb1-8e1a-bb9c6a237315,Regional Australia Institute,Part,
org-aurin-33a68f73-ccb8-4193-a71f-2dce20240532,Local Government of Victoria - Brimbank City Council,Part,
org-aurin-352b7845-2c21-4b07-b09c-84d4076399e7,Australian Children's Education and Care Quality Authority (ACECQA),,
org-aurin-36f73d1f-c68b-4efc-8322-75da42bd4cd2,National Information Communications Technology Australia Ltd,,
org-aurin-37e81d3a-dcc1-47ef-a1c2-ef7c52fe0f2a,Government of the Australian Capital Territory - Department of Education and Training,,
org-aurin-38ac590b-ce08-4334-bb16-5643ea33f35e,National Health Performance Authority,,
org-aurin-3f3a5edf-1eea-46ea-8efe-df7446618e14,Government of Victoria - State Revenue Office,,
org-aurin-43f00040-de29-4b10-9f11-9b320b9a399a,Government of New South Wales - Fair Trading,,
org-aurin-47f2eb18-749e-4d2b-85c6-bc9172007520,Government of Queensland - Department of Environment and Heritage Protection,Part,
org-aurin-48c4126d-a099-4391-a651-cb25b9e1ca8e,Conservation Volunteers Australia,Part,
org-aurin-53b2da35-b915-4bad-8a58-00086dea5e5b,University of Newcastle - Centre of Full Employment and Equity,Part,
org-aurin-550df510-cd9c-47ea-825b-09c4c71dcee2,"Government of South Australia - Department of Planning, Transport and Infrastructure",Part,
org-aurin-557de3e7-e56b-49a3-8833-b002206cd0e1,Government of the Commonwealth of Australia - National Water Commission,Part,
org-aurin-594d9e5c-5475-44fe-aa8a-6ddc1d8b88eb,Government of South Australia - SA Health,Part,
org-aurin-5976d028-be60-4461-bb80-59aae1873199,University of Queensland - eResearch Group,Part,
org-aurin-5acdecd8-8a2c-4115-94ca-298caf144f6a,Government of Victoria - VicRoads,Part,
org-aurin-5b1f4322-f1db-4c64-937c-5624b18e8ddb,Government of Victoria - Environment Protection Authority,Y,
